depth,uniform_byte_alpha,uniform_byte_beta,uniform_byte_mean_efficiency,uniform_byte_status,uniform_token_alpha,uniform_token_beta,uniform_token_mean_efficiency,uniform_token_status,polya_token_alpha,polya_token_beta,polya_token_mean_efficiency,polya_token_status,polya_stoken_uniform_token_alpha,polya_stoken_uniform_token_beta,polya_stoken_uniform_token_mean_efficiency,polya_stoken_uniform_token_status,polya_stoken_uniform_byte_alpha,polya_stoken_uniform_byte_beta,polya_stoken_uniform_byte_mean_efficiency,polya_stoken_uniform_byte_status
0,9.58734741211,0.00385375976562,4.78461817724,Maximum number of function evaluations has been exceeded.,3.1954010725,0.375062262297,3.70154936977,Normal,3.12854003906,0.372740478516,3.67584656898,Normal,3.365625,0.37640625,3.67563452153,Normal,7.1541595459,0.162616577148,4.02063629039,Normal
1,2.3792839898,0.134070556641,3.22191084651,Normal,1.5548421224,0.534343261719,2.81623943013,Normal,1.541931857,0.53516597271,2.79053585421,Normal,1.52801649306,0.53431640625,2.79032496615,Normal,1.3111735026,0.281281494141,2.94410905569,Normal
2,0.785541862912,0.282483570099,2.55649929591,Normal,0.503989156087,0.535855560303,2.3618289481,Normal,0.516761652629,0.534541740417,2.33612552886,Normal,0.512169583639,0.535427761078,2.33591493645,Normal,0.356874593099,0.396478027344,2.33894142149,Normal
3,0.373783365885,0.344703369141,2.22685001305,Normal,0.208500324523,0.509187799113,2.06653436372,Normal,0.213744455141,0.50709494929,2.04083065221,Normal,0.210308984915,0.507955298424,2.04061968764,Normal,0.0865720003843,0.456505457312,2.0844469509,Normal
4,0.270157424609,0.362443446636,2.06410828149,Normal,0.072306330502,0.506976281852,1.96125732291,Normal,0.0739162127177,0.506811056137,1.93555335933,Normal,0.0739705827501,0.506234397888,1.93534233371,Normal,-0.01923828125,0.487587890625,2.01811939445,Normal
5,0.175932820638,0.391850578308,2.0363660656,Normal,0.000907185094224,0.513284450993,1.95073205917,Normal,0.00275190982761,0.512639136342,1.92502810242,Normal,0.00437641206922,0.512045268891,1.92481767676,Normal,-0.0656029078696,0.500289202929,2.02190976324,Normal
6,0.0953509648641,0.408977501392,2.01636320876,Normal,-0.0497435953882,0.52036266923,1.96850637147,Normal,-0.0510308477614,0.520558958054,1.9428028465,Normal,-0.0488743358188,0.519899530411,1.94259247724,Normal,-0.116151258681,0.515356445313,2.03720662057,Normal
7,0.0531307178705,0.420608075958,2.03414074591,Normal,-0.0868666728338,0.527802407742,1.99129336901,Normal,-0.0859153747559,0.528080062866,1.9655900793,Normal,-0.0859681675831,0.52727714926,1.96537882989,Normal,-0.120925564236,0.516108398437,2.05479714494,Normal
8,0.0132613141594,0.431369186341,2.04967634126,Normal,-0.117688627375,0.535755817741,2.01083067864,Normal,-0.118290836944,0.536236924678,1.98512872423,Normal,-0.117189449734,0.536085300446,1.98491573848,Normal,-0.125602213542,0.515141601563,2.06953131031,Normal
9,-0.0103252703822,0.437155551007,2.06580709226,Normal,-0.124516319763,0.535832402809,2.02588197853,Normal,-0.120510525174,0.534182128906,2.00018190771,Normal,-0.126174713175,0.536358028352,1.99996746638,Normal,-0.159481289652,0.526716023386,2.08080738384,Normal
